IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
156230919,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,22:00,SOUTHERN,NONE,RIZAL ST / LAPU-LAPU ST,-122.3988824,37.78222265,(37.7822226458536/ -122.398882384128),1.56E+13
150815252,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM OF VEHICLES,Wednesday,9/16/2015,22:00,NORTHERN,NONE,800 Block of OFARRELL ST,-122.4187513,37.785116,(37.7851160049429/ -122.418751252829),1.51E+13
150815848,NON-CRIMINAL,LOST PROPERTY,Wednesday,9/16/2015,22:00,CENTRAL,NONE,1100 Block of CALIFORNIA ST,-122.4132889,37.79146553,(37.7914655329997/ -122.413288872508),1.51E+13
150818632,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,9/16/2015,22:00,MISSION,NONE,500 Block of DOLORES ST,-122.4258422,37.76062201,(37.7606220053743/ -122.425842162189),1.51E+13
156231105,NON-CRIMINAL,LOST PROPERTY,Wednesday,9/16/2015,22:00,CENTRAL,NONE,2900 Block of HYDE ST,-122.4209051,37.80805698,(37.8080569802618/ -122.420905124092),1.56E+13
150814812,NON-CRIMINAL,AIDED CASE/ MENTAL DISTURBED,Wednesday,9/16/2015,21:41,TENDERLOIN,NONE,200 Block of EDDY ST,-122.4118001,37.78408904,(37.7840890366868/ -122.411800134753),1.51E+13
150814919,OTHER OFFENSES,DRIVERS LICENSE/ SUSPENDED OR REVOKED,Wednesday,9/16/2015,21:00,SOUTHERN,ARREST/ BOOKED,HARRISON ST / 1ST ST,-122.3929409,37.7860677,(37.7860677021529/ -122.392940948663),1.51E+13
150814759,NON-CRIMINAL,FOUND PROPERTY,Wednesday,9/16/2015,21:00,MISSION,NONE,17TH ST / HARTFORD ST,-122.4340635,37.76254864,(37.7625486367545/ -122.434063454683),1.51E+13
150814919,OTHER OFFENSES,PROBATION VIOLATION,Wednesday,9/16/2015,21:00,SOUTHERN,ARREST/ BOOKED,HARRISON ST / 1ST ST,-122.3929409,37.7860677,(37.7860677021529/ -122.392940948663),1.51E+13
150814919,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Wednesday,9/16/2015,21:00,SOUTHERN,ARREST/ BOOKED,HARRISON ST / 1ST ST,-122.3929409,37.7860677,(37.7860677021529/ -122.392940948663),1.51E+13
150815202,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,21:00,SOUTHERN,NONE,HOWARD ST / 10TH ST,-122.4143706,37.77404184,(37.7740418385041/ -122.414370627495),1.51E+13
150814709,OTHER OFFENSES,DRIVERS LICENSE/ SUSPENDED OR REVOKED,Wednesday,9/16/2015,21:00,SOUTHERN,ARREST/ BOOKED,MONTGOMERY ST / MARKET ST,-122.4020702,37.78871987,(37.7887198688133/ -122.402070243227),1.51E+13
